dates,times,flow
6/4/14,15:21:02,13.102
6/4/14,15:21:03,6.1802
6/4/14,15:21:04,0
6/4/14,21:12:05,6.9053
6/4/14,21:12:06,13.481
6/4/14,21:12:07,20.4029
6/4/14,21:12:10,29.8791
6/4/14,21:12:14,23.7484
6/4/14,21:12:17,13.4975
6/4/14,21:12:18,6.757
6/4/14,21:12:20,0
6/4/14,23:21:51,6.7735
6/4/14,23:22:00,0
6/4/14,23:26:30,5.7517
6/4/14,23:26:38,0
6/5/14,1:30:49,10.0037
6/5/14,1:30:53,16.6123
6/5/14,1:30:57,10.6299
6/5/14,1:31:01,4.2849
6/5/14,6:52:23,14.9478
6/5/14,6:52:24,23.3858
6/5/14,6:52:25,31.6426
6/5/14,6:52:26,37.6744
6/5/14,6:52:27,43.0965
6/5/14,6:52:29,55.5722
6/5/14,6:52:32,70.5695
6/5/14,6:52:33,75.6949
6/5/14,6:53:06,70.5201
6/5/14,6:53:18,64.3563
6/5/14,6:53:22,58.6047
6/5/14,6:53:30,63.6642
6/5/14,6:53:36,71.9209
6/5/14,6:53:41,66.7955
6/5/14,6:53:46,58.5222
6/5/14,6:54:10,53.3474
6/5/14,6:54:16,46.6068
6/5/14,6:54:35,52.6717
6/5/14,6:54:42,46.4091
6/5/14,6:54:46,40.542
6/5/14,6:54:57,34.7409
6/5/14,6:55:00,28.9233
6/5/14,6:55:03,23.8638
6/5/14,6:55:06,16.8266
6/5/14,6:55:10,10.3662
6/5/14,6:55:13,5.2078
6/5/14,6:55:23,17.5023
6/5/14,6:55:24,23.7978
6/5/14,6:55:27,30.6043
6/5/14,6:55:33,22.6277
6/5/14,6:55:35,14.7995
6/5/14,6:58:18,20.3205
6/5/14,6:58:19,26.0886
6/5/14,6:58:21,31.4942
6/5/14,6:58:23,36.7021
6/5/14,6:58:30,30.7856
6/5/14,6:58:34,16.5464
6/5/14,6:58:35,7.9271
6/5/14,6:58:37,0
6/5/14,7:14:15,12.2285
6/5/14,7:14:16,23.0562
6/5/14,7:14:17,29.9121
6/5/14,7:14:19,39.8993
6/5/14,7:14:23,58.2586
6/5/14,7:14:24,65.4935
6/5/14,7:14:27,70.9321
